Step,CartPole-v1__ppo__1__1776570508 - losses/approx_kl
51,0.000404596
100,0.000703059
157,0.00110794
202,0.000713591
255,0.001250015
294,0.000940245
327,0.001130015
368,0.001219349
393,0.000648341
424,0.000306797
451,0.000879716
478,0.000921034
503,0.000215217
524,0.000340736
549,0.00014875
574,0.000901657
591,0.001090975
612,0.00098023
629,0.00138862
642,0.000178043
659,0.000209108
676,0.000544655
691,0.000494094
708,0.005054938
725,0.000147778
746,0.001144452
763,0.00017009
776,0.001278442
791,0.000424861
806,0.000457948
823,0.000677734
836,5.58E-05
853,7.16E-05
868,2.16E-05
883,0.000768899
896,2.75E-05
913,0.002223335
926,3.96E-05
941,0.001345357
960,0.000167038
975,0.00012681
994,9.38E-05
1009,0.000259333
1026,8.56E-05
1039,6.40E-05
1056,0.001071782
1071,0.000525881
1084,0.000508874
1099,7.52E-05
1114,0.000342937
1125,1.50E-05
1144,0.000340401
1155,1.07E-05
1170,3.64E-05
1187,8.06E-06
1202,5.06E-05
1215,0.000302642
1230,7.03E-05
1245,0.000532183
1256,7.71E-05
1271,0.000160424
1284,1.77E-05
1295,2.26E-05
1312,1.85E-05
1323,0.000405672
1340,0.000466402
1355,1.61E-05
1366,4.24E-06
1381,2.00E-06
1394,1.80E-05
1409,0.000313775
1424,0.00029551
1435,3.14E-05
1452,7.11E-06
1465,5.72E-06
1480,1.92E-05
1495,7.40E-06
1506,0.000397653
1517,0.000796198
1534,0.000113211
1549,1.60E-05
1560,0.000207637
1573,0.000442985
1586,0.00006557
1601,2.36E-05
1610,1.16E-05
1625,0.000599198
1636,2.66E-05
1649,1.07E-05
1662,2.67E-06
1671,7.06E-05
1682,0.001008681
1695,0.000460668
1708,1.01E-05
1721,1.87E-05
1736,7.07E-06
1749,0.000161357
1762,2.36E-05
1773,1.43E-05
1788,4.38E-05
1801,0.000196869
1812,1.36E-05
1827,5.84E-05
1842,9.54E-05
1855,4.42E-05
1870,1.14E-05
1881,5.26E-05
1892,0.000228149
1907,5.77E-05
1920,1.61E-05
1929,3.16E-05
1946,0.002808872
1957,0.000118431
1968,0.000296654
1983,6.65E-06
1996,7.19E-05
2009,3.78E-06
2020,0.000479773
2033,0.000929361
2044,0.00022341
2059,0.000703254
2072,8.33E-05
2085,0.000442094
2096,0.000433113
2109,0.000911158
2120,0.00076902
2131,0.000246207
2142,0.000818904
2155,6.64E-05
2166,4.15E-05
2175,0.000236996
2188,2.08E-05
