Step,CartPole-v1__ppo__1__1776570508 - losses/value_loss
47,40.316254
96,41.42814
153,36.841053
198,52.263897
251,38.605747
290,48.781303
323,63.527428
364,48.408493
389,73.71376
420,59.76593
447,65.14947
474,67.237076
499,64.185745
520,78.13865
545,67.662125
570,72.82942
587,82.56537
608,72.40546
625,82.57981
638,95.83663
655,80.89666
672,82.98668
687,81.442276
704,78.472595
721,81.68529
742,71.58645
759,78.018486
772,89.234436
787,82.27798
802,78.40811
819,72.37036
832,83.68402
849,64.808395
864,71.7488
879,68.85865
892,74.46286
909,67.00523
922,75.976204
937,77.80168
956,67.147095
971,68.19849
990,58.652954
1005,66.39926
1022,61.16213
1035,78.27687
1052,64.00081
1067,62.53353
1080,67.56866
1095,67.10536
1110,63.25857
1121,73.59363
1140,59.316
1151,76.93814
1166,72.26688
1183,59.96517
1198,54.71281
1211,63.603966
1226,61.8974
1241,63.788475
1252,67.34557
1267,63.364048
1280,59.937405
1291,67.284615
1308,62.41828
1319,68.135895
1336,54.170822
1351,57.739952
1362,63.353996
1377,66.49027
1390,58.8972
1405,54.1818
1420,52.03208
1431,60.13891
1448,51.748325
1461,51.98191
1476,52.931244
1491,57.88803
1502,62.235344
1513,56.38837
1530,46.98336
1545,51.662537
1556,58.398323
1569,52.886463
1582,61.46203
1597,46.398716
1606,55.825455
1621,59.101974
1632,55.75376
1645,50.663013
1658,53.87065
1667,58.19213
1678,57.00802
1691,49.531555
1704,55.322823
1717,49.109417
1732,53.70951
1745,48.0486
1758,51.010487
1769,50.11573
1784,50.848152
1797,45.506577
1808,47.851513
1823,45.45546
1838,47.696632
1851,45.45762
1866,47.925488
1877,41.803017
1888,47.683464
1903,51.707947
1916,50.23249
1925,48.973644
1942,42.417957
1953,50.487404
1964,44.554688
1979,40.466652
1992,40.31349
2005,46.345585
2016,49.527664
2029,46.38458
2040,47.828407
2055,66.53764
2068,55.716034
2081,44.939552
2092,40.672585
2105,40.4869
2116,41.943
2127,49.178818
2138,43.86982
2151,44.89206
2162,45.68714
2171,44.122143
2184,56.184998
2197,51.91829
